"Markets fall after Nifty hits new all-time high, Sensex down 434 points; pre-election rally eyed",macro_or_sector,,
HFCL share hits 52-week high after establishing facility in Poland,company_specific,HFCL Limited,HFCL
"Taking Stock: Sensex, Nifty see profit booking; IT stocks among top drags",macro_or_sector,,
"China tightens grip on stocks with net sale ban at open, close",macro_or_sector,,
GMR Airports can monetise its passengers plus airport ecosystem: Rajiv Jain of GQG,multi_company_news,"Adani Enterprises Limited,GMR AIRPORTS LIMITED","ADANIENT,GMRAIRPORT"
"India leading the new era for Asian equities, says Morgan Stanley's Jonathan Garner",macro_or_sector,,
"Rural demand lag hits FMCG firms in Q3; benign inflation, MSP hike, Budget augur well for recovery",macro_or_sector,,
Foreign funds will be compelled to invest in Indian equities; Jefferies’ Chris Wood explains why,macro_or_sector,,
Trade setup for Thursday: 15 things to know before opening bell,technical_analysis,,
"Hot Stocks | Buy into Nestle India, GSPL, and sell Coromandel International",broker_recommendations,"Coromandel International Limited,Gujarat State Petronet Limited","COROMANDEL,GSPL"
